,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
246,,65.62,精装,676,455,27,3,69339
247,,59.17,精装,958,360,6,3,60842
248,,37.69,中装,461,248,6,2,65800
249,,44,精装,679,398,5,3,90455
250,,55.08,中装,793,420,6,3,76253
251,,54.7,精装,1255,745,6,3,136197
252,,37.8,中装,620,600,6,2,158730
253,,75.23,毛坯, ,320,6,3,42536
254,,57.93,中装,387,260,6,3,44882
255,,94.58,简装,612,395,6,4,41764
256,,121.1,精装,1443,480,6,4,39637
257,,83.92,简装,292,375,29,3,44685
258,,58.75,中装,934,500,6,3,85106
259,,51.6,简装,1373,400,6,3,77519
260,,50.75,中装,627,278,6,2,54778
261,,188.4,精装,268,1280,18,6,67941
262,,57.59,简装,902,410,5,4,71193
263,,63.29,简装,1427,480,6,3,75841
264,,72.51,精装,404,365,6,4,50338
265,,56.32,精装,513,617,8,3,109553
266,,72.6,精装,502,470,16,3,64738
267,,48.91,简装,557,350,20,3,71560
268,,21.81,中装,530,293,22,2,134342
269,,77.26,精装,855,320,26,4,41419
270,,42.1,简装,1324,686,17,2,162945
271,,54.86,简装,528,345,6,3,62887
272,,59.2,中装,367,500,9,3,84459
273,,56.8,中装,381,485,6,3,85387
274,,46.54,简装,1027,480,6,2,103137
275,,102.88,中装,1116,920,16,4,89425
276,,101.75,精装,1089,800,20,3,78624
277,,44.49,中装,357,380,12,2,85412
278,,120.22,精装,1117,660,9,5,54899
279,,58.5,精装,420,310,28,2,52991
280,,73.37,精装,901,700,6,3,95407
281,,98.09,精装,599,1180,6,5,120298
282,,91.34,精装, ,565,22,4,61857
283,,137.86,简装,676,1080,17,5,78340
284,,92.56,精装,530,593,25,5,64067
285,,108.39,精装,1456,450,11,4,41517
286,,89.83,简装,637,385,6,4,42859
287,,36.75,毛坯,912,325,6,2,88435
288,,87.34,精装,521,620,22,2,70987
289,,66.92,简装,730,800,5,4,119546
290,,90.41,简装,636,360,22,4,39819
291,,125.82,中装,983,880,21,5,69941
292,,41.94,简装,193,319,6,3,76061
293,,59.7,精装, ,290,6,3,48576
294,,117.53,精装,693,660,29,4,56156
295,,62.16,简装,1034,310,6,4,49871
296,,57.34,精装,509,400,7,3,69759
297,,63.05,精装,745,435,6,3,68993
298,,88.07,简装,934,490,19,3,55638
299,,68.02,中装,408,440,6,3,64687
300,,74.47,中装,338,760,16,3,102055
301,,56.45,精装,335,610,6,4,108060
302,,57.16,精装,170,610,5,4,106718
303,,40.24,中装,370,270,18,2,67097
304,,93.75,中装,426,770,30,3,82133
305,,75.99,简装,502,530,24,3,69746
306,,95.97,中装,736,560,20,4,58352
307,,68.11,精装,704,465,6,3,68272
308,,88.12,精装,418,496,6,3,56287
309,,85.27,精装,1181,700,11,4,82092
310,,39.18,中装,775,340,6,2,86779
311,,97.79,中装, ,549,17,3,56141
312,,41.1,精装,250,480,6,2,116788
313,,97.15,精装,513,1150,8,5,118374
314,,74.76,简装,222,430,18,3,57517
315,,89.8,精装, ,435,6,4,48441
316,,64.52,简装,515,545,5,4,84470
317,,69.6,精装, ,276,6,3,39655
318,,47.63,中装,500,335,6,2,70334
319,,38.4,中装,714,335,6,2,87240
320,,74.2,精装,701,768,5,4,103504
321,,54.29,中装,765,160,6,2,29471
322,,57.34,简装,509,420,6,3,73247
323,,58.85,中装,757,340,6,3,57774
324,,115.4,精装,380,750,26,4,64991
325,,78.48,中装,519,530,18,3,67533
326,,52.33,精装,461,372,14,2,71087
327,,63.46,中装,271,358,12,3,56413
328,,89.55,精装, ,405,6,3,45226
329,,68.58,豪装,927,825,21,3,120297
330,,57.4,简装,237,499,6,3,86934
331,,150.55,简装,424,960,21,4,63766
332,,60.2,中装,1271,570,6,3,94684
333,,75.6,简装,852,768,12,4,101587
334,,70.33,精装,1162,395,7,3,56164
335,,65.03,精装,1044,310,17,2,47670
336,,89.75,中装,457,1420,7,3,158217
337,,62.01,精装,509,445,16,3,71763
338,,71.6,精装, ,620,6,4,86592
339,,60.44,简装,371,370,6,3,61218
340,,58.92,精装,747,320,6,2,54311
341,,69.69,精装,577,840,6,3,120534
342,,58.69,精装,108,369,26,2,62873
343,,113.95,精装,1329,930,25,5,81615
344,,64.62,中装,376,280,22,2,43330
345,,66.28,精装,225,340,19,2,51298
346,,81.63,精装,445,1100,12,3,134754
347,,232.36,精装,404,2900,7,7,124806
348,,152.98,简装, ,460,7,6,30069
349,,135.34,精装,857,1350,9,5,99749
350,,129.54,中装,171,470,10,4,36282
351,,44.8,精装,1291,620,6,2,138393
352,,49.39,精装,1218,458,18,2,92731
353,,142.6,中装,1442,718,12,5,50351
354,,119.53,精装,645,630,5,4,52706
355,,82,中装,679,720,6,4,87805
356,,96.84,精装,725,890,22,3,91904
357,,59.16,中装,1093,300,6,3,50710
358,,51.56,精装,497,470,15,3,91156
359,,45.96,精装,627,261,6,2,56789
360,,105.5,中装,550,650,6,4,61611
361,,70.87,简装,454,300,6,3,42331
362,,146.55,中装,1272,608,10,5,41488
363,,68.25,中装,330,485,4,3,71062
364,,84.39,豪装,351,780,4,4,92428
365,,57.5,精装,632,470,30,2,81739
366,,90.07,精装,576,470,12,3,52182
367,,67.95,简装,1427,550,6,4,80942
368,,101.4,精装,417,560,27,4,55227
369,,61.74,简装,687,440,6,3,71267
370,,54.6,精装,329,435,6,3,79670
371,,90.1,中装,676,535,14,4,59378
372,,127.93,中装,203,900,11,5,70351
373,,42.3,简装,595,260,24,1,61466
374,,175.01,精装,706,1250,26,6,71424
375,,100.07,精装,272,320,13,3,31978
376,,124.16,精装,932,488,6,5,39304
377,,77.41,精装,1475,450,19,2,58132
378,,123.77,精装,378,479,15,5,38701
379,,60,精装,727,750,6,3,125000
380,,155.17,中装,259,1700,18,5,109557
381,,61.08,精装, ,288,6,2,47151
382,,141.32,精装,1103,398,7,5,28163
383,,70.3,中装,730,695,6,4,98862
384,,124.54,毛坯,1272,495,6,5,39746
385,,94.3,精装, ,570,8,4,60445
386,,84.37,中装,425,590,26,3,69930
387,,138.86,毛坯, ,1120,21,4,80657
388,,96.18,精装,164,420,20,4,43668
389,,74.75,中装,727,365,17,3,48829
390,,156.06,精装,258,1350,22,5,86505
391,,58,精装,408,520,6,4,89655
392,,53.1,中装,461,315,6,3,59322
393,,60.8,精装,609,480,5,3,78947
394,,105.95,简装,444,390,6,4,36810
395,,47.76,精装,199,218,5,3,45645
396,,44.6,精装,659,430,6,2,96413
397,,36.33,精装,451,247,16,2,67988
398,,106.6,精装,348,660,24,5,61914
399,,75.53,中装, ,280,15,3,37071
400,,68.65,中装,704,455,6,3,66278
401,,50.38,精装,417,360,6,3,71457
402,,78.44,中装,437,529,25,3,67440
403,,86.62,精装,1064,420,15,3,48488
404,,62.5,简装,810,575,16,3,92000
405,,96.9,简装,302,718,12,3,74097
406,,62.66,简装,208,440,17,3,70220
407,,91.27,简装,500,650,28,3,71217
408,,39.39,精装,702,225,6,2,57121
409,,57.79,精装,664,395,6,3,68351
410,,60.5,中装,454,635,6,3,104959
411,,69.74,精装,502,470,10,3,67393
412,,89.47,中装,200,540,24,3,60355
413,,80.4,中装,595,485,24,3,60323
414,,39.37,中装,714,260,24,2,66040
415,,72.93,中装,1374,545,6,3,74729
416,,165.67,中装,637,550,18,6,33199
417,,75.9,中装,458,685,17,2,90250
418,,42.1,中装,364,298,6,2,70784
419,,136.9,精装,578,1400,9,5,102264
420,,134.55,简装,203,950,20,5,70606
421,,111.87,精装,591,1160,16,4,103692
422,,54.79,中装,600,415,24,2,75744
423,,85.35,精装,1181,638,11,4,74751
424,,102.63,精装,613,1036,6,4,100945
425,,59.99,简装,802,580,5,3,96683
426,,103.49,精装,680,530,32,4,51213
427,,98.68,中装,710,460,6,4,46615
428,,74.24,中装,1172,300,6,3,40409
429,,108.59,精装,643,680,28,5,62621
430,,109,简装,230,750,25,4,68807
431,,66.93,精装,1225,410,9,2,61258
432,,70.86,精装,427,570,29,2,80440
433,,50.1,中装,178,430,16,2,85828
434,,59.03,简装,206,650,6,3,110114
435,,181.15,精装,706,1358,26,5,74965
436,,80.38,精装,760,420,24,3,52252
437,,96.86,精装,630,610,20,4,62977
438,,75.94,精装, ,300,10,3,39505
439,,56.94,中装,864,130,6,3,22831
440,,107.9,中装,296,320,6,4,29657
441,,78.73,简装,875,405,15,4,51442
442,,65.4,精装,1044,310,15,2,47401
