test_only,False
model_saved,./models_cutout/model_cutout_sgd_no_cutout
optimizer,sgd
log,logs/resnet18_sgd.csv
ckpt,
use_cutout,False
epochs,200
gpu,0

epoch,train_acc,valid_acc,lr
79,0.9988,0.9328,0.020000000000000004
80,0.9988222222222222,0.9316,0.020000000000000004
81,0.9992222222222222,0.9352,0.020000000000000004
82,0.9990888888888889,0.934,0.020000000000000004
83,0.9990888888888889,0.9358,0.020000000000000004
84,0.9990666666666667,0.9362,0.020000000000000004
85,0.9991777777777778,0.9354,0.020000000000000004
86,0.9990888888888889,0.9348,0.020000000000000004
87,0.9992888888888889,0.935,0.020000000000000004
88,0.9990888888888889,0.9374,0.020000000000000004
89,0.9989777777777777,0.9382,0.020000000000000004
90,0.9989555555555556,0.9356,0.020000000000000004
91,0.999,0.93,0.020000000000000004
92,0.9992888888888889,0.9332,0.020000000000000004
93,0.9994222222222222,0.9328,0.020000000000000004
94,0.9993333333333333,0.9346,0.020000000000000004
95,0.9991777777777778,0.9306,0.020000000000000004
96,0.9992666666666666,0.936,0.020000000000000004
97,0.9994,0.9316,0.020000000000000004
98,0.9993777777777778,0.9334,0.020000000000000004
99,0.9992888888888889,0.9326,0.020000000000000004
100,0.9993777777777778,0.936,0.020000000000000004
101,0.9994222222222222,0.9348,0.020000000000000004
102,0.9990444444444444,0.9358,0.020000000000000004
103,0.9994222222222222,0.9346,0.020000000000000004
104,0.9992666666666666,0.9342,0.020000000000000004
105,0.9994444444444445,0.9316,0.020000000000000004
106,0.9994888888888889,0.9338,0.020000000000000004
107,0.9995555555555555,0.9334,0.020000000000000004
108,0.9994666666666666,0.935,0.020000000000000004
109,0.9994888888888889,0.9354,0.020000000000000004
110,0.9995777777777778,0.9326,0.020000000000000004
111,0.9994888888888889,0.935,0.020000000000000004
112,0.9995555555555555,0.934,0.020000000000000004
113,0.9994,0.9346,0.020000000000000004
114,0.9993555555555556,0.9374,0.020000000000000004
115,0.9995333333333334,0.9358,0.020000000000000004
116,0.9996888888888888,0.9336,0.020000000000000004
117,0.9993777777777778,0.9342,0.020000000000000004
118,0.9995555555555555,0.9362,0.020000000000000004
119,0.9997111111111111,0.9384,0.020000000000000004
120,0.9995777777777778,0.9372,0.0008000000000000003
121,0.9993777777777778,0.9368,0.0008000000000000003
122,0.9995111111111111,0.9402,0.0008000000000000003
123,0.9996222222222222,0.9392,0.0008000000000000003
124,0.9996222222222222,0.9392,0.0008000000000000003
125,0.9996,0.939,0.0008000000000000003
126,0.9998222222222222,0.9396,0.0008000000000000003
127,0.9996222222222222,0.939,0.0008000000000000003
128,0.9996666666666667,0.9372,0.0008000000000000003
129,0.9998,0.9378,0.0008000000000000003
130,0.9995777777777778,0.9396,0.0008000000000000003
131,0.9997333333333334,0.9394,0.0008000000000000003
132,0.9998222222222222,0.9382,0.0008000000000000003
133,0.9996666666666667,0.9392,0.0008000000000000003
134,0.9996666666666667,0.939,0.0008000000000000003
135,0.9998222222222222,0.9388,0.0008000000000000003
136,0.9997111111111111,0.9386,0.0008000000000000003
137,0.9997555555555555,0.9382,0.0008000000000000003
138,0.9996888888888888,0.9382,0.0008000000000000003
